#Ncaso,Cu,Zr,Nroatomos,lx,ly,lz,Crate,T,UTS,Flow_Stress,E,Yield_strength,Resilence,Toughness,Poissonratio,Coord_1st,Coord_2nd,W_mean
1,43,57,16640,207.36,84.24,16.2,80000000000,250,1.99582,1.22679,50.26332,1.45366,0.02395,0.27239,0.41306,12.49,55.26,0.543
2,47,53,23400,162,84.24,29.16,40000000000,110,2.49807,1.53889,58.09865,1.76514,0.03002,0.34095,0.39564,12.63,56.77,0.557
3,54,46,58240,259.2,84.24,45.36,40000000000,110,2.63827,1.57795,59.65716,1.89148,0.03345,0.35723,0.41261,12.82,58.77,0.574
4,38,62,25168,168.48,71.28,35.64,10000000000,170,2.43189,1.3414,55.01061,1.66102,0.02778,0.31127,0.42505,12.4,54.15,0.546
5,54,46,36816,191.16,84.24,38.88,20000000000,150,2.65556,1.49051,59.33614,1.82001,0.03152,0.34736,0.4029,12.81,58.73,0.573
6,52,48,14740,217.08,71.28,16.2,10000000000,170,2.80341,1.58372,59.75726,1.59272,0.02301,0.35097,0.43157,12.76,58.08,0.571
7,60,40,72000,259.2,97.2,48.6,40000000000,290,2.30325,1.378,55.9571,1.69022,0.02846,0.309,0.40681,12.95,60.25,0.595
8,59,41,40950,204.12,81,42.12,10000000000,90,2.97929,1.799,64.05474,1.93567,0.03276,0.40321,0.41169,12.96,60.32,0.606
9,46,54,34506,230.04,87.48,29.16,10000000000,290,2.43559,1.24464,55.16864,1.54916,0.0245,0.29645,0.38807,12.56,56.17,0.548
10,49,51,32500,210.6,81,32.4,20000000000,150,2.642,1.42221,57.1941,1.84481,0.03362,0.33676,0.42639,12.69,57.25,0.56
11,39,61,39780,165.24,84.24,48.6,80000000000,230,2.08125,1.22198,51.92478,1.52917,0.0256,0.27681,0.40784,12.38,54.29,0.542
12,42,58,38394,255.96,87.48,29.16,20000000000,50,2.78841,1.63998,58.43314,1.91958,0.03526,0.36925,0.40191,12.52,55.47,0.551
13,36,64,35100,174.96,81,42.12,80000000000,230,2.0544,1.18847,51.00191,1.28673,0.01821,0.26861,0.41715,12.32,53.5,0.543
14,63,37,20480,207.36,64.8,25.92,80000000000,270,2.42001,1.36116,57.30517,1.549,0.02432,0.3122,0.38245,13.02,61.19,0.605
15,58,42,20184,187.92,93.96,19.44,10000000000,170,3.03797,1.74158,62.74008,2.09549,0.03977,0.37393,0.39419,12.92,59.89,0.594
